study_id,authors,year,title,participants,measures,key_behavioural_findings,pwp_v_hc,pwp_v_icb,pwp_between_groups_other,pwp_within_groups,barratt_imp_scale,stroop,go_nogo,Trail Making Test,stop_signal,Delay Discounting,Simon,iowa_gambling,BART,Temperament and Character Inventory,Eriksen Flanker,Conditional Stop Signal task,Behavioural Inhibition Systems/Behavioural Approach Systems,Game of Dice,Cambridge Gambling Task,Snaith-Hamilton Pleasure Scale,Economics Task,Framing Paradigm,Deal or No Deal (ambiguous decision making),Manual Congruency Task,UPPS,Probability-Associated Gambling task (decision making under risk),Associative learning (learning through reward and punishment - DMuAmbiguity?),Vancouver Gambling Task,Monetary Decision Making,Zuckerman-Kuhlman Personality Questionnaire,Color Trails Test (TMT),Task switching,Rewarded Switching Task,Odd Man Out,Hayling Test,Stimulus-response associations,Beads task,Picture-Word Interference Task (lexical-semantic inhibition),Gambling Task,Oddball paradigm,"Countermanding task (""reaching"" SST)",Pro-/anti-saccades,Saccadic Visually guided/memory guided/etc,Saccadic Smooth pursuit,Saccadic GNG,Saccadic Simon,Saccadic other,Inhibition of Return,Covert orienting task (inhibition of return),Category Fluency,Verbal fluency,Semantic Priming,Random Number Generation,Selective Attention Task,Attention Network Test,Moving Dots Task,Cue-target detection task,Conner's Performance Test,Continuous Performance Test,Probabilistic Classification Task (reward and punishment learning),Probabilistic Selection Task,Reversal learning/reward and punishment,Intra-Extra Dimensional Set Shifting,Holt-Laury task,Excluded Letter Fluency Test,2-back task,Rewarded Reaction Time,Incentive Value Task,Verb/noun production task,Dimensional Integration Task,Orienting of Attention,Salience Attribution Test,Cued activation/inhibition task,Anagram task,Calculation task,Binary Choice Task,Valuation Rating Task,Choice Titration Task,Virtual Reality Motor Inhibition Task,Temporal bisection task,Temporal Trisection task,Crossed response inhibition task,Simple RT task,Investment Task,Masked Priming task,Negative Priming,Identity Priming Task,Location Priming Task,Ignored Repetition Task,Repetition Priming,Choice Reaction Task (Paper-rock-scissors),Virtual Multiple Errand Test,Anti-cue keypress task,Temporal Interval Task,Working memory task,Wisconsin Card Sorting Task,Marble Task,Interference task,Stop-Change Paradigm,Lexical ambiguity,Tridimensional Personality Questionnaire,Visuomotor tracking task,Reversal learning
1,Aarts et al. (2012),2012,Aberrant reward processing in Parkinson's disease is associated with dopamine cell loss,"(a) 32 PwP (23 male), age 57.7 (10). UPDRS OFF medication 26.3 (7.6), H&Y OFF medication 2 (0.2), duration 4.1 years (2.2). (b) 26 HCs (15 male), age 59.6 (7.1).","Behavioural Inhibition Systems/Behavioural Approach systems (personality traits), rewarded switching task (cognitive inflexibility and reward impact).","PD showed greater reward sensitivity on the BAS reward sub-scale but did not differ to controls on the BAS drive, BAS fun, BAS total, or BIS scales. PD made more errors on high-reward repeat trials then HC. Anticipated reward was beneficial for repeat trials in controls, but detrimental in PD. PD had smaller switch cost on high vs low reward arrow trials, but not HCs. PD higher switch cost compared to controls on low reward trials (higher cognitive inflexibility).",yes,no,no,no,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Aarts et al. (2014),2014,Greater striatal responses to medication in Parkinson's disease are associated with better task-switching but worse reward performance,"15 PwP (9 male), age 54.1 (9.7). UPDRS ON 20.5 (7.6), UPDRS OFF 29.3 (8.9), duration 5.5 years (3.2).","Rewarded task switching paradigm (task switching and reward processing). Also: fMRI, ON/OFF medication.","PwP performed worse (speed-accuracy composite score) on switch trials but no main effect of medication ON or OFF, or high or low reward. ""Medication induced increases in switch related dorsomedial striatal signal resulted in improved task-switching (reduced switch costs). Medication induced increases in reward-related ventromedial striatal signal resulted in diminished reward processing (increased reward costs).""",yes,no,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Adam et al. (2011),2011,Executive control in Parkinson's disease: Effects of dopaminergic medication and deep brain stimulation on anti-cue keypress performance,"(a) 4 people with advanced Parkinson's (1 male), age 68 (8). UPDRS ON  32.25 (9.81). (b) 7 HCs (3 male), age67 (13.4).","Anti-cue keypress task (response inhibition). Also: ON/OFF STN-DBS, ON/OFF medication.",Response inhibition worse in medication-OFF/DBS-OFF states than other states,yes,no,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
4,Ahearn et al. (2012),2012,An exploration of apathy and impulsivity in Parkinson disease,(a) 35 PwP+ICB. (b) 26 PwP+apathy. (c) 38 PwP,Barratt Impulsiveness Scale (impulsivity).,"PwP+ICB higher total BIS score than PwP+apathy, and PwP. Found different factors on the BIS for Parkinson's. PwP+ICB scored higher than PwP on all factors in this study’s BIS factor analysis (inattention, impetuosity, personal security, planning, future orientation), but only higher in two (impetuosity and personal security) than PwP+apathy. Significant correlations between total BIS score and younger age of onset, higher UPDRS motor score.",no,yes,yes,no,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Akamatsu et al. (2008),2008,"The effects of visual, auditory, and mixed cues on choice reaction in Parkinson's disease","(a) 30 PwP (14 male), age 60.4 (9.8). H&Y 2.3 (0.5), duration 9.2 years (6.6). (b) 20 HC (6 male), age 58.6 (7.2).","Trail Making Test (cognitive inflexibility), Paper-rock-scissors (choice reaction).",PwP slower on TMT Part B than HC (could be just generally slowed responses). PwP had higher error rates in distractor task than HCs.,yes,no,no,no,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
6,Al-Khaled et al. (2015),2015,Intertemporal choice in Parkinson's disease and restless legs syndrome,"(a) 13 de novo PwP (9 male), age 69.9 (11). UPDRS 23.5 (10.5), H&Y 1.5 (0.5), duration 2.2 years (1.2). (b) 24 medicated PwP (18 male), age 67.2 (11.8). UPDRS 21.1 (6.7), H&Y 2.0 (0.6), duration 6.4 years (4.4). (c) 22 HC (9 male), age 69.3 (8.1). (d) 24 restless legs syndrome (RLS) patients (8 male), age 68.4 (6.5).","Intertemporal Choice Task (delay discounting), Go/No-Go Task (attention), Stroop Task (executive functioning).","No significant differences between medicated PwP and HC on Stroop, Go/No-Go, or delay discounting task (no data available for de novo group). Higher impulsivity on delay discounting task for de novo PwP compared to HCs but no differences between de novo and medicated PwP.",yes,no,yes,no,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Albani et al. (2010) ,2010,Executive functions in a virtual world: A study in parkinson's disease,(a) 12 PwP. (b) 14 HC.,Virtual Multiple Errand Test (executive functioning),,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
8,Albert et al. (2010),2010,Interference Effects from Observed Movement in Parkinson's Disease,"(a) 10 PwP (9 male), age 60.1 (8.7). UPDRS OFF 35.3 (4.1), duration 5.9 years (2.6). (b) 10 HC, age 60 (7).",Manual congruency task (susceptibility to interference).,"PwP (OFF meds) and HC were similarly affected by interference of movements on the plane (vertical or horizontal) different to that of the movement performed by the participant. Interference greater when observing human movement compared to dot movement, but similarly so in both PwP and HC participants.",yes,no,no,no,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Alegre et al. (2013),2013,The subthalamic nucleus is involved in successful inhibition in the stop-signal task: A local field potential study in Parkinson's disease,"10 PwP (6 male), age 62.6 (7.07). UPDRS ON (7.16), UPDRS OFF 39.9 (11.63), duration 12.5 years (3.98).","Stop Signal Task (response inhibition). Also: Medication ON/OFF, STN-DBS recording, fMRI.",No significant differences for stop signal reaction time between meds ON/OFF states. Significantly more Go omission errors (non-responses) ON vs OFF meds.,no,no,no,yes,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Alonso-Recio et al.  (2014),2014,Selective attention and facial expression recognition in patients with Parkinson's disease,"(a) 51 PwP (20 male), age 64.72 (3.98). H&Y 2 (1-4). (b) 51 HC (22 male), age 64.82.",Emotional facial expression Stroop task (inhibition).,"All participants more accurate and faster for colour-word than face-word conflict. PwP participants less accurate (greater Stroop effect) and made more omissions than HC in face-word but not colour-word, which indicates greater difficulty with emotional stimuli, rather than inhibition. No differences in RT between groups for either condition.",yes,no,no,no,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
